村里別,投開票所別,候選人1,候選人1票數,候選人2,候選人2票數,候選人3,候選人3票數,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
鳥松里,708,陳進發,461,謝唐欽,621,,,1082,65,1147,0,1147,484,1631,70.3199996948242
鳥松里,709,陳進發,378,謝唐欽,668,,,1046,65,1111,0,1111,492,1603,69.3099975585938
鳥松里,710,陳進發,322,謝唐欽,547,,,869,25,894,0,894,285,1179,75.8300018310547
鳥松里,711,陳進發,308,謝唐欽,474,,,782,36,818,0,818,464,1282,63.810001373291
鳥松里,712,陳進發,244,謝唐欽,493,,,737,41,778,0,778,375,1153,67.4800033569335
鳥松里,713,陳進發,373,謝唐欽,799,,,1172,48,1220,0,1220,496,1716,71.099998474121
鳥松里,714,陳進發,330,謝唐欽,369,,,699,73,772,0,772,307,1079,71.5500030517578
夢裡里,715,陳萬丁,881,,,,,881,104,985,0,985,329,1314,74.9599990844727
夢裡里,716,陳萬丁,762,,,,,762,58,820,0,820,225,1045,78.4700012207031
夢裡里,717,陳萬丁,1278,,,,,1278,174,1452,0,1452,674,2126,68.3000030517578
大華里,718,林肆捌,252,蔡美蘭,436,林中泉,450,1138,49,1187,0,1187,391,1578,75.2200012207031
大華里,719,林肆捌,143,蔡美蘭,573,林中泉,293,1009,48,1057,0,1057,429,1486,71.129997253418
大華里,720,林肆捌,230,蔡美蘭,349,林中泉,399,978,64,1042,0,1042,441,1483,70.2600021362305
大華里,721,林肆捌,237,蔡美蘭,489,林中泉,411,1137,37,1174,0,1174,448,1622,72.379997253418
大華里,722,林肆捌,266,蔡美蘭,449,林中泉,418,1133,33,1166,0,1166,395,1561,74.6999969482422
大華里,723,林肆捌,283,蔡美蘭,477,林中泉,442,1202,39,1241,0,1241,450,1691,73.3899993896484
坔埔里,724,黃永順,445,蔡財旺,429,,,874,18,892,0,892,289,1181,75.5299987792969
坔埔里,725,黃永順,427,蔡財旺,426,,,853,24,877,0,877,272,1149,76.3300018310547
坔埔里,726,黃永順,381,蔡財旺,442,,,823,23,846,0,846,229,1075,78.6999969482422
坔埔里,727,吳恒亮,397,潘麗玉,469,,,866,26,892,0,892,318,1210,73.7200012207031
坔埔里,728,吳恒亮,420,潘麗玉,575,,,995,25,1020,0,1020,353,1373,74.2900009155273
坔埔里,729,吳恒亮,459,潘麗玉,445,,,904,29,933,0,933,391,1324,70.4700012207031
坔埔里,730,吳恒亮,467,潘麗玉,461,,,928,28,956,0,956,356,1312,72.870002746582
坔埔里,731,吳恒亮,326,潘麗玉,463,,,789,20,809,0,809,206,1015,79.6999969482422
大竹里,732,李賢仁,196,蔡榮瑞,344,,,540,16,556,0,556,118,674,82.4899978637695
華美里,733,邱滄來,559,莊正和,312,,,871,25,896,0,896,283,1179,76
華美里,734,邱滄來,562,莊正和,346,,,908,35,943,0,943,303,1246,75.6800003051758
華美里,735,邱滄來,642,莊正和,402,,,1044,31,1075,0,1075,317,1392,77.2300033569335
